subject,roi_file,contrast,activity,numvox
s04,BLA_L,ALL,0.31078,304
s04,BLA_L,EmoR-SC,0.53059,304
s04,BLA_L,EmoR-SI,0.29203,304
s04,BLA_L,EmoK,0.79129,304
s04,BLA_L,EmoM,0.91064,304
s04,BLA_L,NeuR-SC,0.65737,304
s04,BLA_L,NeuR-SI,-0.52713,304
s04,BLA_L,NeuK,-0.056432,304
s04,BLA_L,NeuM,-0.11214,304
s05,BLA_L,ALL,0.57497,281
s05,BLA_L,EmoR-SC,0.80353,281
s05,BLA_L,EmoR-SI,1.0981,281
s05,BLA_L,EmoK,-0.2942,281
s05,BLA_L,EmoM,2.1145,281
s05,BLA_L,NeuR-SC,1.223,281
s05,BLA_L,NeuR-SI,0.4495,281
s05,BLA_L,NeuK,0.010659,281
s05,BLA_L,NeuM,0.044024,281
s06,BLA_L,ALL,-0.12524,343
s06,BLA_L,EmoR-SC,0.12852,343
s06,BLA_L,EmoR-SI,0.56745,343
s06,BLA_L,EmoK,0.33561,343
s06,BLA_L,EmoM,0.40686,343
s06,BLA_L,NeuR-SC,-0.90367,343
s06,BLA_L,NeuR-SI,-0.77914,343
s06,BLA_L,NeuK,-0.71764,343
s06,BLA_L,NeuM,0.045457,343
s07,BLA_L,ALL,0.66133,262
s07,BLA_L,EmoR-SC,1.2873,262
s07,BLA_L,EmoR-SI,1.102,262
s07,BLA_L,EmoK,0.94666,262
s07,BLA_L,EmoM,1.8693,262
s07,BLA_L,NeuR-SC,-0.3794,262
s07,BLA_L,NeuR-SI,-0.010961,262
s07,BLA_L,NeuK,0.23731,262
s07,BLA_L,NeuM,0.70223,262
s08,BLA_L,ALL,0.49706,287
s08,BLA_L,EmoR-SC,1.0109,287
s08,BLA_L,EmoR-SI,0.60035,287
s08,BLA_L,EmoK,0.22109,287
s08,BLA_L,EmoM,1.1602,287
s08,BLA_L,NeuR-SC,-0.37458,287
s08,BLA_L,NeuR-SI,-0.041035,287
s08,BLA_L,NeuK,1.4404,287
s08,BLA_L,NeuM,-0.040876,287
s09,BLA_L,ALL,-0.28014,337
s09,BLA_L,EmoR-SC,0.32652,337
s09,BLA_L,EmoR-SI,-0.37527,337
s09,BLA_L,EmoK,-0.11447,337
s09,BLA_L,EmoM,-0.81898,337
s09,BLA_L,NeuR-SC,-0.82621,337
s09,BLA_L,NeuR-SI,0.80605,337
s09,BLA_L,NeuK,-0.54966,337
s09,BLA_L,NeuM,-0.61375,337
s10,BLA_L,ALL,-0.51045,283
s10,BLA_L,EmoR-SC,-0.70114,283
s10,BLA_L,EmoR-SI,-0.22623,283
s10,BLA_L,EmoK,-0.10549,283
s10,BLA_L,EmoM,-0.4835,283
s10,BLA_L,NeuR-SC,-0.26778,283
s10,BLA_L,NeuR-SI,-0.71388,283
s10,BLA_L,NeuK,-2.4498,283
s10,BLA_L,NeuM,0.83769,283
s11,BLA_L,ALL,0.6029,320
s11,BLA_L,EmoR-SC,1.8403,320
s11,BLA_L,EmoR-SI,0.69045,320
s11,BLA_L,EmoK,0.99009,320
s11,BLA_L,EmoM,-0.257,320
s11,BLA_L,NeuR-SC,1.6335,320
s11,BLA_L,NeuR-SI,0.23609,320
s11,BLA_L,NeuK,0.63711,320
s11,BLA_L,NeuM,-1.2574,320
s13,BLA_L,ALL,1.2369,385
s13,BLA_L,EmoR-SC,1.0872,385
s13,BLA_L,EmoR-SI,0.45941,385
s13,BLA_L,EmoK,1.1248,385
s13,BLA_L,EmoM,3.6017,385
s13,BLA_L,NeuR-SC,1.539,385
s13,BLA_L,NeuR-SI,1.5133,385
s13,BLA_L,NeuK,1.5069,385
s13,BLA_L,NeuM,1.001,385
s14,BLA_L,ALL,0.045674,310
s14,BLA_L,EmoR-SC,0.90187,310
s14,BLA_L,EmoR-SI,-0.33644,310
s14,BLA_L,EmoK,-0.62437,310
s14,BLA_L,EmoM,-1.4907,310
s14,BLA_L,NeuR-SC,-0.0016728,310
s14,BLA_L,NeuR-SI,1.0052,310
s14,BLA_L,NeuK,0.20062,310
s14,BLA_L,NeuM,0.19879,310
s16,BLA_L,ALL,0.23896,285
s16,BLA_L,EmoR-SC,0.62924,285
s16,BLA_L,EmoR-SI,-0.23413,285
s16,BLA_L,EmoK,0.45472,285
s16,BLA_L,EmoM,-1.2938,285
s16,BLA_L,NeuR-SC,0.61119,285
s16,BLA_L,NeuR-SI,-0.046912,285
s16,BLA_L,NeuK,0.77517,285
s16,BLA_L,NeuM,0.77158,285
s17,BLA_L,ALL,0.16089,429
s17,BLA_L,EmoR-SC,1.3855,429
s17,BLA_L,EmoR-SI,0.63968,429
s17,BLA_L,EmoK,0.89584,429
s17,BLA_L,EmoM,-0.083982,429
s17,BLA_L,NeuR-SC,-0.96507,429
s17,BLA_L,NeuR-SI,0.12902,429
s17,BLA_L,NeuK,-0.03526,429
s17,BLA_L,NeuM,-0.45804,429
s18,BLA_L,ALL,0.60672,342
s18,BLA_L,EmoR-SC,1.1835,342
s18,BLA_L,EmoR-SI,1.1878,342
s18,BLA_L,EmoK,0.28559,342
s18,BLA_L,EmoM,-0.10931,342
s18,BLA_L,NeuR-SC,0.3964,342
s18,BLA_L,NeuR-SI,1.2854,342
s18,BLA_L,NeuK,0.52242,342
s18,BLA_L,NeuM,-0.14225,342
s19,BLA_L,ALL,0.96857,383
s19,BLA_L,EmoR-SC,0.34957,383
s19,BLA_L,EmoR-SI,1.749,383
s19,BLA_L,EmoK,0.050482,383
s19,BLA_L,EmoM,0.6669,383
s19,BLA_L,NeuR-SC,1.6711,383
s19,BLA_L,NeuR-SI,1.0082,383
s19,BLA_L,NeuK,0.86008,383
s19,BLA_L,NeuM,1.3429,383
s20,BLA_L,ALL,0.15532,290
s20,BLA_L,EmoR-SC,0.37681,290
s20,BLA_L,EmoR-SI,1.7507,290
s20,BLA_L,EmoK,0.59514,290
s20,BLA_L,EmoM,0.47628,290
s20,BLA_L,NeuR-SC,-0.66921,290
s20,BLA_L,NeuR-SI,0.69028,290
s20,BLA_L,NeuK,-0.7329,290
s20,BLA_L,NeuM,-1.1375,290
s21,BLA_L,ALL,0.79834,338
s21,BLA_L,EmoR-SC,1.1645,338
s21,BLA_L,EmoR-SI,1.9411,338
s21,BLA_L,EmoK,0.40626,338
s21,BLA_L,EmoK,0.40626,338
s21,BLA_L,NeuR-SC,0.40677,338
s21,BLA_L,NeuR-SI,0.41841,338
s21,BLA_L,NeuK,0.40234,338
s21,BLA_L,NeuM,1.1025,338
s22,BLA_L,ALL,0.18052,309
s22,BLA_L,EmoR-SC,0.48728,309
s22,BLA_L,EmoR-SI,0.79495,309
s22,BLA_L,EmoK,-0.0012208,309
s22,BLA_L,EmoM,-0.90943,309
