ID,Category,EmotionType,RunID,ConList,ConID,ConLabel,BlockRep,TrialType,CB,ImageFile,FixISI
Animals_001_h,Animals,Negative,5,4,emo2,professional photo?,1,Old,A,Stimuli/Animals_001_h.jpg,3.52
Faces_372_h,Faces,Negative,5,4,emo2,professional photo?,1,Old,A,Stimuli/Faces_372_h.jpg,3.654
Animals_207_h,Animals,Negative,5,4,emo2,professional photo?,1,Old,A,Stimuli/Animals_207_h.jpg,0.589
Objects_125_h,Objects,Negative,5,4,emo2,professional photo?,1,Old,A,Stimuli/Objects_125_h.jpg,1.755
Faces_111_h,Faces,Neutral,5,2,neu2,professional photo?,1,Old,A,Stimuli/Faces_111_h.jpg,0.824
Objects_297_h,Objects,Neutral,5,2,neu2,professional photo?,1,Old,A,Stimuli/Objects_297_h.jpg,2.814
Faces_128_h,Faces,Neutral,5,2,neu2,professional photo?,1,Old,A,Stimuli/Faces_128_h.jpg,2.922
Objects_058_h,Objects,Neutral,5,2,neu2,professional photo?,1,Old,A,Stimuli/Objects_058_h.jpg,0.864
Faces_222_h,Faces,Neutral,5,1,neu1,within SF?,1,Old,A,Stimuli/Faces_222_h.jpg,0.977
Animals_209_h,Animals,Neutral,5,1,neu1,within SF?,1,Old,A,Stimuli/Animals_209_h.jpg,2.087
Faces_311_h,Faces,Neutral,5,1,neu1,within SF?,1,Old,A,Stimuli/Faces_311_h.jpg,8.218
Objects_016_h,Objects,Neutral,5,1,neu1,within SF?,1,Old,A,Stimuli/Objects_016_h.jpg,3.961
Faces_370_h,Faces,Negative,5,3,emo1,within SF?,1,Old,A,Stimuli/Faces_370_h.jpg,1.262
Objects_011_h,Objects,Negative,5,3,emo1,within SF?,1,Old,A,Stimuli/Objects_011_h.jpg,1.151
Objects_318_h,Objects,Negative,5,3,emo1,within SF?,1,Old,A,Stimuli/Objects_318_h.jpg,1.922
Objects_023_v,Objects,Negative,5,3,emo1,within SF?,1,Old,A,Stimuli/Objects_023_v.jpg,0.559
Faces_174_h,Faces,Negative,5,4,emo2,professional photo?,2,Old,A,Stimuli/Faces_174_h.jpg,4.855
Faces_287_h,Faces,Negative,5,4,emo2,professional photo?,2,Old,A,Stimuli/Faces_287_h.jpg,0.51
Objects_153_h,Objects,Negative,5,4,emo2,professional photo?,2,Old,A,Stimuli/Objects_153_h.jpg,5.089
Faces_290_h,Faces,Negative,5,4,emo2,professional photo?,2,Old,A,Stimuli/Faces_290_h.jpg,1.234
Faces_044_h,Faces,Neutral,5,2,neu2,professional photo?,2,Old,A,Stimuli/Faces_044_h.jpg,3.582
Animals_162_h,Animals,Neutral,5,2,neu2,professional photo?,2,Old,A,Stimuli/Animals_162_h.jpg,0.834
Objects_246_h,Objects,Neutral,5,2,neu2,professional photo?,2,Old,A,Stimuli/Objects_246_h.jpg,0.798
Objects_220_h,Objects,Neutral,5,2,neu2,professional photo?,2,Old,A,Stimuli/Objects_220_h.jpg,5.478
Objects_198_h,Objects,Neutral,5,1,neu1,within SF?,2,Old,A,Stimuli/Objects_198_h.jpg,0.623
Animals_107_h,Animals,Neutral,5,1,neu1,within SF?,2,Old,A,Stimuli/Animals_107_h.jpg,5.258
Faces_188_h,Faces,Neutral,5,1,neu1,within SF?,2,Old,A,Stimuli/Faces_188_h.jpg,3.745
Faces_184_h,Faces,Neutral,5,1,neu1,within SF?,2,Old,A,Stimuli/Faces_184_h.jpg,1.997
Animals_073_h,Animals,Negative,5,3,emo1,within SF?,2,Old,A,Stimuli/Animals_073_h.jpg,3.506
Faces_296_h,Faces,Negative,5,3,emo1,within SF?,2,Old,A,Stimuli/Faces_296_h.jpg,1.237
Objects_022_h,Objects,Negative,5,3,emo1,within SF?,2,Old,A,Stimuli/Objects_022_h.jpg,1.496
Faces_303_h,Faces,Negative,5,3,emo1,within SF?,2,Old,A,Stimuli/Faces_303_h.jpg,2.679
