ID,Category,EmotionType,RunID,ConList,ConID,ConLabel,BlockRep,TrialType,CB,ImageFile,FixISI
Objects_219_h,Objects,Neutral,1,1,neu1,within SF?,1,Old,A,Stimuli/Objects_219_h.jpg,0.977
Objects_209_h,Objects,Neutral,NA,NA,NA,NA,NA,New,NA,Stimuli/Objects_209_h.jpg,0.5
Faces_111_h,Faces,Neutral,5,2,neu2,professional photo?,1,Old,A,Stimuli/Faces_111_h.jpg,0.824
Faces_203_h,Faces,Neutral,4,1,neu1,within SF?,1,Old,A,Stimuli/Faces_203_h.jpg,1.151
Faces_047_h,Faces,Neutral,NA,NA,NA,NA,NA,New,NA,Stimuli/Faces_047_h.jpg,0.5
Faces_265_h,Faces,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Faces_265_h.jpg,0.5
Faces_059_h,Faces,Neutral,3,1,neu1,within SF?,1,Old,A,Stimuli/Faces_059_h.jpg,3.745
Animals_013_h,Animals,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Animals_013_h.jpg,0.5
Objects_043_h,Objects,Neutral,NA,NA,NA,NA,NA,New,NA,Stimuli/Objects_043_h.jpg,0.5
Objects_200_h,Objects,Neutral,4,2,neu2,professional photo?,1,Old,A,Stimuli/Objects_200_h.jpg,0.798
Objects_258_h,Objects,Neutral,6,1,neu1,within SF?,2,Old,A,Stimuli/Objects_258_h.jpg,3.52
Objects_223_h,Objects,Neutral,1,2,neu2,professional photo?,2,Old,A,Stimuli/Objects_223_h.jpg,1.234
Faces_315_h,Faces,Neutral,6,2,neu2,professional photo?,1,Old,A,Stimuli/Faces_315_h.jpg,2.814
Animals_221_h,Animals,Negative,2,4,emo2,professional photo?,2,Old,A,Stimuli/Animals_221_h.jpg,1.496
Faces_279_h,Faces,Negative,6,3,emo1,within SF?,1,Old,A,Stimuli/Faces_279_h.jpg,3.654
Objects_308_h,Objects,Neutral,NA,NA,NA,NA,NA,New,NA,Stimuli/Objects_308_h.jpg,0.5
Faces_166_h,Faces,Neutral,NA,NA,NA,NA,NA,New,NA,Stimuli/Faces_166_h.jpg,0.5
Faces_032_h,Faces,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Faces_032_h.jpg,0.5
Faces_102_h,Faces,Neutral,1,2,neu2,professional photo?,2,Old,A,Stimuli/Faces_102_h.jpg,2.087
Objects_021_v,Objects,Negative,NA,NA,NA,NA,NA,New,NA,Stimuli/Objects_021_v.jpg,0.5
Objects_231_h,Objects,Neutral,1,1,neu1,within SF?,1,Old,A,Stimuli/Objects_231_h.jpg,0.834
Faces_033_h,Faces,Negative,3,3,emo1,within SF?,2,Old,A,Stimuli/Faces_033_h.jpg,2.679
Objects_268_h,Objects,Neutral,NA,NA,NA,NA,NA,New,NA,Stimuli/Objects_268_h.jpg,0.5
Animals_214_h,Animals,Neutral,2,1,neu1,within SF?,1,Old,A,Stimuli/Animals_214_h.jpg,0.977
Animals_077_h,Animals,Negative,2,4,emo2,professional photo?,1,Old,A,Stimuli/Animals_077_h.jpg,0.864
Objects_126_h,Objects,Negative,1,4,emo2,professional photo?,2,Old,A,Stimuli/Objects_126_h.jpg,1.755
Faces_309_h,Faces,Neutral,2,2,neu2,professional photo?,2,Old,A,Stimuli/Faces_309_h.jpg,0.589
Animals_150_h,Animals,Neutral,2,2,neu2,professional photo?,1,Old,A,Stimuli/Animals_150_h.jpg,1.262
Animals_139_h,Animals,Neutral,3,1,neu1,within SF?,1,Old,A,Stimuli/Animals_139_h.jpg,2.087
Animals_034_h,Animals,Negative,6,4,emo2,professional photo?,1,Old,A,Stimuli/Animals_034_h.jpg,0.977
Objects_125_h,Objects,Negative,5,4,emo2,professional photo?,1,Old,A,Stimuli/Objects_125_h.jpg,1.755
Faces_034_h,Faces,Negative,6,4,emo2,professional photo?,1,Old,A,Stimuli/Faces_034_h.jpg,0.51
